time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446400000	17.0565	5.00226	4.88267	0.738331	0.333933	lidar	14.6115	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2307	5.15244	4.82614	0.752225	0.331964	radar	1.08601	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3838	5.35265	4.83621	0.782159	0.343375	lidar	5.37302	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5441	5.50111	4.74888	0.795824	0.341034	radar	2.3571	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7222	5.65753	4.74844	0.806327	0.335452	lidar	1.83421	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8738	5.82952	4.66112	0.827044	0.339866	radar	0.924522	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0409	6.04413	4.72605	0.853213	0.347781	lidar	8.32749	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1973	6.23748	4.75347	0.873641	0.350306	radar	1.07475	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3199	6.48864	4.80874	0.914896	0.370534	lidar	12.8007	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4586	6.6851	4.77631	0.937	0.374178	radar	0.502059	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5927	6.84884	4.72934	0.949256	0.368614	lidar	3.70396	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7437	7.05406	4.8179	0.965314	0.365619	radar	0.672756	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9244	7.2257	4.82591	0.966299	0.351081	lidar	19.2059	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0207	7.40739	4.65656	0.992184	0.359952	radar	3.82314	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.115	7.6795	4.73761	1.03567	0.381602	lidar	14.2817	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2378	7.88197	4.75311	1.05265	0.379491	radar	0.159178	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3153	8.10831	4.74666	1.08532	0.390901	lidar	13.1912	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4156	8.31601	4.77277	1.10472	0.389769	radar	2.18312	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5006	8.47678	4.67073	1.11786	0.384078	lidar	19.9383	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5954	8.67695	4.61973	1.13737	0.384972	radar	0.414664	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7426	8.87517	4.64166	1.14025	0.37152	lidar	27.248	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8228	9.08555	4.57342	1.16468	0.377714	radar	0.934114	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9454	9.32987	4.65488	1.18072	0.375787	lidar	24.8218	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
